path,img_src,current_alt,proposed_alt,decorative,has_dimensions,loading,flags
revision-notes/aqa-a2-macro/2-5-1-fiscal-policy.html,/images/diagrams/ad-shift-right-classical-keynesian.png,"AD/AS diagram showing aggregate demand shifting right, compared on Classical and Keynesian LRAS curves","Two panels comparing a rightward AD shift: large output gain on the Keynesian curve, price rise only on the Classical curve",no,yes,eager (default),
revision-notes/aqa-a2-macro/2-5-1-fiscal-policy.html,/images/diagrams/laffer-curve.png,Laffer Curve diagram,"Laffer curve showing tax revenue rising then falling as the tax rate increases, peaking at the revenue-maximising rate",no,yes,lazy,
revision-notes/aqa-a2-macro/2-5-2-supply-side-policies.html,/images/diagrams/classical-lras-shift-right.png,"Classical AD/AS diagram showing the vertical LRAS curve shifting right, raising real output and lowering the price level","Classical diagram showing the vertical LRAS shifting right, raising real output and lowering the price level",no,yes,eager (default),
revision-notes/aqa-a2-macro/2-5-2-supply-side-policies.html,/images/diagrams/keynesian-lras-shift-right.png,"Keynesian AD/AS diagram showing the LRAS curve shifting right, raising real output and lowering the price level","Keynesian diagram showing LRAS shifting right, raising real output and lowering the price level",no,yes,lazy,
revision-notes/aqa-a2-macro/2-6-2-trade.html,/images/diagrams/comparative-advantage.png,Comparative advantage diagram,Two countries' production possibility frontiers showing the output gains from specialising by comparative advantage,no,yes,eager (default),
revision-notes/aqa-a2-macro/2-6-2-trade.html,/images/diagrams/tariff.png,"Diagram showing the effect of a tariff on imports, raising domestic price and reducing import volume, with government revenue and welfare loss areas","Tariff diagram showing the domestic price rising and imports falling, with areas for government revenue and welfare loss",no,yes,lazy,
revision-notes/aqa-a2-macro/2-6-4-exchange-rate-systems.html,/images/diagrams/exchange-rates.png,Exchange rates diagram,Exchange rate diagram showing appreciation when demand for the currency rises and depreciation when its supply rises,no,yes,eager (default),
revision-notes/aqa-a2-macro/2-6-4-exchange-rate-systems.html,/images/diagrams/j-curve.png,J-curve diagram showing the current account balance worsening after a depreciation before improving over time,J-curve showing the current account worsening immediately after a depreciation before improving as trade volumes adjust,no,yes,lazy,
revision-notes/aqa-a2-macro/2-6-5-economic-growth-and-development.html,/images/diagrams/buffer-stocks.png,Buffer stock scheme diagram,Buffer stock diagram showing the government buying surplus stock at a floor price and selling stock at a ceiling price,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-1-5-production-possibility-diagrams.html,/images/diagrams/ppf-basic.png,Production possibility frontier showing the trade-off between capital goods and consumer goods,Production possibility frontier showing the opportunity cost trade-off between capital goods and consumer goods,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-1-5-production-possibility-diagrams.html,/images/diagrams/ppf-growth-decline.png,Production possibility frontier shifting outwards to show economic growth and inwards to show economic decline,Production possibility frontier shifting outwards to show economic growth and inwards to show economic decline,no,yes,lazy,unchanged
revision-notes/aqa-a2-micro/1-2-1-consumer-behaviour.html,/images/diagrams/total-utility.png,Total and marginal utility diagram,"Total utility curve rising at a decreasing rate to a maximum, then falling as extra units add negative utility",no,yes,eager (default),
revision-notes/aqa-a2-micro/1-3-1-the-determinants-of-the-demand-for-goods-and-services.html,/images/diagrams/demand-curve-movement.png,Demand curve showing extensions and contractions along the curve,Demand curve showing a price fall causing an extension in quantity demanded and a price rise causing a contraction,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-3-1-the-determinants-of-the-demand-for-goods-and-services.html,/images/diagrams/demand-curve-shift.png,Demand curve shifting left and right due to non-price factors,"Demand curve shifting right to raise equilibrium price and quantity, and left to lower both",no,yes,lazy,
revision-notes/aqa-a2-micro/1-3-2-price-income-and-cross-elasticities-of-demand.html,/images/diagrams/price-elasticity-demand-ranges.png,Diagram showing different PED values from perfectly inelastic to perfectly elastic,Demand curves ranging from perfectly inelastic (vertical) to perfectly elastic (horizontal) as PED rises,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-3-3-the-determinants-of-the-supply-of-goods-and-services.html,/images/diagrams/supply-curve-movement.png,"Upward-sloping supply curve showing movements along the curve between points A, B and C","Upward-sloping supply curve showing movements between points A, B and C as the good's own price changes",no,yes,eager (default),
revision-notes/aqa-a2-micro/1-3-3-the-determinants-of-the-supply-of-goods-and-services.html,/images/diagrams/supply-curve-shift.png,Diagram showing the supply curve shifting left and right in response to non-price factors,"Supply curve shifting right to lower equilibrium price and raise quantity, and left to do the reverse",no,yes,lazy,
revision-notes/aqa-a2-micro/1-3-4-price-elasticity-of-supply.html,/images/diagrams/price-elasticity-supply-ranges.png,Diagram showing different PES values from perfectly inelastic to perfectly elastic,Supply curves ranging from perfectly inelastic (vertical) to perfectly elastic (horizontal) as PES rises,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-3-5-the-determination-of-equilibrium-market-prices.html,/images/diagrams/market-equilibrium.png,Standard supply and demand diagram showing intersecting curves at equilibrium price P1 and quantity Q1,Supply and demand diagram with the curves intersecting to set equilibrium price P1 and quantity Q1,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-3-5-the-determination-of-equilibrium-market-prices.html,/images/diagrams/excess-demand.png,"Supply and demand diagram showing price P2 set below equilibrium P1, highlighting the gap between QD and QS as excess demand","Supply and demand diagram showing a price set below equilibrium, leaving quantity demanded above quantity supplied",no,yes,lazy,
revision-notes/aqa-a2-micro/1-3-5-the-determination-of-equilibrium-market-prices.html,/images/diagrams/excess-supply.png,"Supply and demand diagram showing price P3 set above equilibrium P1, highlighting the gap between QS and QD as excess supply","Supply and demand diagram showing a price set above equilibrium, leaving quantity supplied above quantity demanded",no,yes,lazy,
revision-notes/aqa-a2-micro/1-3-5-the-determination-of-equilibrium-market-prices.html,/images/diagrams/shifts-in-equilibrium.png,Demand and supply diagram showing how shifts in the curves move the equilibrium price and quantity,Four demand and supply panels showing how a rise or fall in demand or supply moves equilibrium price and quantity,no,yes,lazy,
revision-notes/aqa-a2-micro/1-3-6-the-interrelationship-between-markets.html,/images/diagrams/joint-demand.png,"Demand and supply diagram showing joint demand, where a rise in demand for one complementary good raises demand for the other","Two panels showing a rise in the price of cars contracting quantity demanded, which shifts demand for petrol, its complement, to the left",no,yes,eager (default),
revision-notes/aqa-a2-micro/1-3-6-the-interrelationship-between-markets.html,/images/diagrams/competitive-demand.png,"Demand and supply diagram showing competitive demand, where a price rise for one substitute raises demand for the other",Two panels showing a price rise for one substitute good shifting demand for the competing good to the right,no,yes,lazy,
revision-notes/aqa-a2-micro/1-3-6-the-interrelationship-between-markets.html,/images/diagrams/composite-demand.png,"Demand and supply diagram showing composite demand, where a good demanded for two uses sees supply to one use fall as the other rises","Two panels showing a good demanded for two uses, where more going to one use reduces the quantity available to the other",no,yes,lazy,
revision-notes/aqa-a2-micro/1-3-6-the-interrelationship-between-markets.html,/images/diagrams/derived-demand.png,"Demand and supply diagram showing derived demand, where a rise in demand for the final good raises demand for the input","Two panels showing a fall in demand for houses shifting demand for bricklayers left, lowering the wage and employment",no,yes,lazy,
revision-notes/aqa-a2-micro/1-3-6-the-interrelationship-between-markets.html,/images/diagrams/joint-supply.png,"Demand and supply diagram showing joint supply, where increased output of one good raises the supply of its by-product",Two panels showing higher output of one good raising the supply of its by-product and lowering that by-product's price,no,yes,lazy,
revision-notes/aqa-a2-micro/1-4-4-costs-of-production.html,/images/diagrams/short-run-costs.png,Short-run cost curves,Short-run cost curves showing marginal cost cutting average variable cost and average cost at their minimum points,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-4-4-costs-of-production.html,/images/diagrams/long-run-costs.png,Long-run cost curves,"Long-run average cost curve falling through economies of scale to minimum efficient scale, then rising with diseconomies",no,yes,lazy,
revision-notes/aqa-a2-micro/1-4-5-economies-and-diseconomies-of-scale.html,/images/diagrams/economies-of-scale.png,LRAC curve showing economies and diseconomies of scale,Long-run average cost curve showing costs falling with economies of scale and rising beyond minimum efficient scale,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-4-6-marginal-average-and-total-revenue.html,/images/diagrams/revenue-perfect-competition.png,Revenue diagram for perfect competition,Revenue diagram for a price taker with horizontal average revenue equal to marginal revenue at the market price,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-4-6-marginal-average-and-total-revenue.html,/images/diagrams/revenue-imperfect-competition.png,Revenue diagram for imperfect competition,Revenue diagram with a downward-sloping average revenue curve and marginal revenue falling twice as steeply below it,no,yes,lazy,
revision-notes/aqa-a2-micro/1-4-7-profit.html,/images/diagrams/supernormal-profit.png,Supernormal profit diagram,Firm diagram showing supernormal profit as the shaded area where average revenue exceeds average cost,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-4-7-profit.html,/images/diagrams/loss.png,"Cost and revenue diagram showing a firm making a loss, with average cost above average revenue at the profit-maximising output",Firm diagram showing a loss as the shaded area where average cost exceeds average revenue at the chosen output,no,yes,lazy,
revision-notes/aqa-a2-micro/1-5-10-market-structure-efficiency-resource-allocation.html,/images/diagrams/efficiency-perfect-competition.png,Efficiency in perfect competition diagram,Perfect competition diagram showing both allocative efficiency at price equal to marginal cost and productive efficiency at minimum average cost,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-5-10-market-structure-efficiency-resource-allocation.html,/images/diagrams/efficiency-imperfect-competition.png,Efficiency in imperfect competition diagram,"Imperfect competition diagram showing price above marginal cost and output above minimum average cost, so both efficiencies fail",no,yes,lazy,
revision-notes/aqa-a2-micro/1-5-11-consumer-and-producer-surplus.html,/images/diagrams/consumer-producer-surplus-equilibrium.png,"Supply and demand diagram with equilibrium at P1, Q1. Consumer surplus shaded above P1 and below D curve. Producer surplus shaded below P1 and above S curve.",Supply and demand diagram with consumer surplus shaded above the equilibrium price and producer surplus below it,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-5-11-consumer-and-producer-surplus.html,/images/diagrams/surplus-supply-increase.png,Two diagrams showing an outward shift of supply curve (S1 to S2). First shows larger consumer surplus area. Second shows new producer surplus area.,"Two panels after supply shifts right: the first shades the larger consumer surplus, the second the new producer surplus",no,yes,lazy,
revision-notes/aqa-a2-micro/1-5-11-consumer-and-producer-surplus.html,/images/diagrams/surplus-demand-increase.png,Two diagrams showing an outward shift of demand curve (D1 to D2). First shows new producer surplus area. Second shows larger consumer surplus area.,"Two panels after demand shifts right: the first shades the larger consumer surplus, the second the larger producer surplus",no,yes,lazy,
revision-notes/aqa-a2-micro/1-5-11-consumer-and-producer-surplus.html,/images/diagrams/consumer-producer-surplus-competitive-monopoly.png,Diagram showing the different areas of producer and consumer surplus in a competitive market and in a monopoly.,Two panels showing consumer surplus shrinking and producer surplus growing when a competitive market becomes a monopoly,no,yes,lazy,
revision-notes/aqa-a2-micro/1-5-11-consumer-and-producer-surplus.html,/images/diagrams/net-welfare-loss-monopoly.png,Diagram showing the net welfare loss in a monopoly compared to a perfectly competitive market.,Monopoly diagram shading the deadweight welfare loss caused by the higher price and lower output than under competition,no,yes,lazy,
revision-notes/aqa-a2-micro/1-5-11-consumer-and-producer-surplus.html,/images/diagrams/consumer-producer-surplus-price-discrimination-before.png,Diagram showing the different areas of producer and consumer surplus before price discrimination.,"Diagram showing consumer and producer surplus at a single uniform price, before any price discrimination",no,yes,lazy,
revision-notes/aqa-a2-micro/1-5-11-consumer-and-producer-surplus.html,/images/diagrams/consumer-producer-surplus-price-discrimination-after.png,Diagram showing the different areas of producer and consumer surplus after price discrimination.,Diagram showing consumer surplus converted into producer surplus once the firm price discriminates,no,yes,lazy,
revision-notes/aqa-a2-micro/1-5-2-the-objectives-of-firms.html,/images/diagrams/profit-max.png,Firm diagram showing profit maximisation point,Firm diagram showing the profit-maximising output where marginal cost equals marginal revenue,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-5-2-the-objectives-of-firms.html,/images/diagrams/revenue-max.png,Firm diagram showing revenue maximisation point,Firm diagram showing the revenue-maximising output where marginal revenue equals zero,no,yes,lazy,
revision-notes/aqa-a2-micro/1-5-2-the-objectives-of-firms.html,/images/diagrams/sales-max.png,Firm diagram showing sales maximisation point,"Firm diagram showing sales maximisation at the output where average revenue equals average cost, the largest output still earning normal profit",no,yes,lazy,context-dependent alt (default)
revision-notes/aqa-a2-micro/1-5-3-perfect-competition.html,/images/diagrams/perfect-competition-market-price.png,Market price in perfect competition diagram,Two panels showing industry supply and demand setting the price the individual perfectly competitive firm must accept,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-5-3-perfect-competition.html,/images/diagrams/perfect-competition-short-run-supernormal-profit.png,Short-run supernormal profit in perfect competition diagram,"Perfect competition firm earning short-run supernormal profit, shaded where average revenue is above average cost",no,yes,lazy,
revision-notes/aqa-a2-micro/1-5-3-perfect-competition.html,/images/diagrams/perfect-competition-short-run-loss.png,Short-run loss in perfect competition diagram,"Perfect competition firm making a short-run loss, shaded where average cost is above average revenue",no,yes,lazy,
revision-notes/aqa-a2-micro/1-5-3-perfect-competition.html,/images/diagrams/perfect-competition-profit-to-longrun.png,Profit to long-run equilibrium in perfect competition diagram,Perfect competition diagram showing entry competing supernormal profit away until only normal profit remains,no,yes,lazy,
revision-notes/aqa-a2-micro/1-5-3-perfect-competition.html,/images/diagrams/perfect-competition-loss-to-longrun.png,Loss to long-run equilibrium in perfect competition diagram,Perfect competition diagram showing firms leaving until losses are removed and normal profit is restored,no,yes,lazy,
revision-notes/aqa-a2-micro/1-5-4-monopolistic-competition.html,/images/diagrams/supernormal-profit.png,Supernormal profit in monopolistic competition diagram,Firm diagram showing supernormal profit as the shaded area where average revenue exceeds average cost,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-5-4-monopolistic-competition.html,/images/diagrams/normal-profit-imperfect-competition.png,Normal profit in monopolistic competition diagram,Monopolistic competition diagram showing long-run normal profit where average revenue just equals average cost,no,yes,lazy,
revision-notes/aqa-a2-micro/1-5-5-oligopoly.html,/images/diagrams/collusion.png,Collusion in oligopoly diagram,Oligopoly diagram showing colluding firms restricting output and raising price towards the monopoly outcome,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-5-5-oligopoly.html,/images/diagrams/kinked-demand-curve.png,Kinked demand curve in oligopoly,Kinked demand curve diagram showing the gap in marginal revenue that keeps the oligopolist's price rigid,no,yes,lazy,
revision-notes/aqa-a2-micro/1-5-6-monopoly-and-monopoly-power.html,/images/diagrams/supernormal-profit.png,Supernormal profit diagram,Firm diagram showing supernormal profit as the shaded area where average revenue exceeds average cost,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-5-6-monopoly-and-monopoly-power.html,/images/diagrams/nationalisation-privatisation.png,Diagram comparing output and price under public ownership and after privatisation,"Natural monopoly diagram where long-run average cost falls across the whole market, comparing lower-price higher-output public ownership with higher-price lower-output private ownership",no,yes,lazy,
revision-notes/aqa-a2-micro/1-5-7-price-discrimination.html,/images/diagrams/price-discrimination.png,Price discrimination diagram,Price discrimination diagram showing a higher price charged in the market with the more inelastic demand,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-5-9-contestable-and-non-contestable-markets.html,/images/diagrams/sales-max.png,Limit Pricing diagram,"Limit pricing diagram showing price pushed down to average cost, removing the supernormal profit that would attract new entrants",no,yes,eager (default),context-dependent alt (limit)
revision-notes/aqa-a2-micro/1-6-1-the-demand-for-labour-marginal-productivity-theory.html,/images/diagrams/demand-for-labour.png,Demand for labour diagram,"Labour demand curve derived from marginal revenue product, sloping down as extra workers add less revenue",no,yes,eager (default),
revision-notes/aqa-a2-micro/1-6-2-influence-upon-the-supply-of-labour-to-different-markets.html,/images/diagrams/supply-of-labour-market-individual.png,Supply of labour diagram,Two panels showing an upward-sloping market labour supply curve and a backward-bending individual supply curve,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-6-3-wage-determination-perfectly-competitive-labour-markets.html,/images/diagrams/wage-determination.png,Wage determination diagram,Competitive labour market diagram where labour demand and supply intersect to set the equilibrium wage and employment,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-6-4-wage-determination-imperfectly-competitive-labour-markets.html,/images/diagrams/monopsony.png,Labour market diagram showing a monopsonist employing fewer workers at a lower wage than under perfect competition,Monopsony diagram showing a sole employer hiring fewer workers at a lower wage than a competitive labour market would,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-6-5-the-influence-of-trade-unions-in-determining-wages-and-levels-of-employment.html,/images/diagrams/trade-union.png,Labour market diagram showing a trade union raising the wage above the competitive level and reducing employment,Labour market diagram showing a trade union raising the wage above the competitive level and reducing employment,no,yes,eager (default),unchanged
revision-notes/aqa-a2-micro/1-6-6-the-national-minimum-wage.html,/images/diagrams/min-wage.png,"Labour market diagram showing a national minimum wage set above the equilibrium wage, creating excess supply of labour",Labour market diagram showing a minimum wage above equilibrium creating excess supply of labour and unemployment,no,yes,eager (default),
revision-notes/aqa-a2-micro/1-7-1-the-distribution-of-income-and-wealth.html,/images/diagrams/lorenz-curve.png,Lorenz curve diagram,"Lorenz curve bowing away from the line of equality, with the gap used to calculate the Gini coefficient",no,yes,eager (default),
revision-notes/aqa-a2-micro/1-7-1-the-distribution-of-income-and-wealth.html,/images/diagrams/kuznets-curve.png,Kuznets curve diagram,Kuznets curve showing inequality rising and then falling as income per head increases with development,no,yes,lazy,
revision-notes/aqa-a2-micro/1-8-1-how-markets-and-prices-allocate-resources.html,/images/diagrams/demand-increase.png,"Supply and demand diagram showing an increase in demand (D1 to D2), leading to a higher equilibrium price (P1 to P2) and quantity (Q1 to Q2)","Supply and demand diagram showing demand shifting right from D1 to D2, raising equilibrium price and quantity",no,yes,eager (default),
revision-notes/aqa-a2-micro/1-8-1-how-markets-and-prices-allocate-resources.html,/images/diagrams/supply-increase.png,"Supply and demand diagram showing an increase in supply (S1 to S2), leading to a lower equilibrium price (P1 to P2) and higher quantity (Q1 to Q2)","Supply and demand diagram showing supply shifting right from S1 to S2, lowering price and raising quantity",no,yes,lazy,
revision-notes/aqa-a2-micro/1-8-4-positive-and-negative-externalities-in-consumption-and-production.html,/images/diagrams/overproduction.png,Diagrams showing the impact of negative externalities in production.,"Externality diagram showing marginal social cost above marginal private cost, so the market overproduces and creates welfare loss",no,yes,eager (default),
revision-notes/aqa-a2-micro/1-8-4-positive-and-negative-externalities-in-consumption-and-production.html,/images/diagrams/underproduction.png,Diagrams showing the impact of positive externalities in production.,"Externality diagram showing marginal social cost below marginal private cost, so the market underproduces and creates welfare loss",no,yes,lazy,
revision-notes/aqa-a2-micro/1-8-4-positive-and-negative-externalities-in-consumption-and-production.html,/images/diagrams/underconsumption.png,Diagrams showing the impact of positive externalities in consumption.,"Externality diagram showing marginal social benefit above marginal private benefit, so the market underconsumes and creates welfare loss",no,yes,lazy,
revision-notes/aqa-a2-micro/1-8-4-positive-and-negative-externalities-in-consumption-and-production.html,/images/diagrams/overconsumption.png,Diagrams showing the impact of negative externalities in consumption.,"Externality diagram showing marginal private benefit above marginal social benefit, so the market overconsumes and creates welfare loss",no,yes,lazy,
revision-notes/aqa-a2-micro/1-8-5-merit-and-demerit-goods.html,/images/diagrams/overproduction.png,Diagrams showing the impact of negative externalities in production.,"Externality diagram showing marginal social cost above marginal private cost, so the market overproduces and creates welfare loss",no,yes,eager (default),
revision-notes/aqa-a2-micro/1-8-5-merit-and-demerit-goods.html,/images/diagrams/underproduction.png,Diagrams showing the impact of positive externalities in production.,"Externality diagram showing marginal social cost below marginal private cost, so the market underproduces and creates welfare loss",no,yes,lazy,
revision-notes/aqa-a2-micro/1-8-5-merit-and-demerit-goods.html,/images/diagrams/underconsumption.png,Diagrams showing the impact of positive externalities in consumption.,"Externality diagram showing marginal social benefit above marginal private benefit, so the market underconsumes and creates welfare loss",no,yes,lazy,
revision-notes/aqa-a2-micro/1-8-5-merit-and-demerit-goods.html,/images/diagrams/overconsumption.png,Diagrams showing the impact of negative externalities in consumption.,"Externality diagram showing marginal private benefit above marginal social benefit, so the market overconsumes and creates welfare loss",no,yes,lazy,
revision-notes/aqa-a2-micro/1-8-8-public-ownership-privatisation-regulation-and-deregulation-of-markets.html,/images/diagrams/nationalisation-privatisation.png,Diagram comparing output and price under public ownership and after privatisation,"Natural monopoly diagram where long-run average cost falls across the whole market, comparing lower-price higher-output public ownership with higher-price lower-output private ownership",no,yes,eager (default),
revision-notes/aqa-a2-micro/1-8-9-government-intervention-in-markets.html,/images/diagrams/indirect-tax-gov-revenue.png,Demand and supply diagram showing the government revenue raised by an indirect tax,"Demand and supply diagram showing an indirect tax shifting supply left, with the shaded rectangle as government revenue",no,yes,eager (default),
